Episodes, train_final_pv, train_log_return, test_final_pv, test_log_return
1,75079.742,-0.287,135549.781,0.304
2,165334.375,0.503,149434.031,0.402
3,173522.984,0.551,151618.422,0.416
4,166692.453,0.511,151854.406,0.418
5,166589.031,0.510,151166.562,0.413
6,167917.828,0.518,150033.172,0.406
7,159955.031,0.470,149819.203,0.404
8,151394.641,0.415,148469.469,0.395
