Episodes, train_final_pv, train_log_return, test_final_pv, test_log_return
1,143005.969,0.358,140588.750,0.341
2,187612.969,0.629,114682.734,0.137
3,145840.500,0.377,113670.242,0.128
4,251329.938,0.922,143877.375,0.364
5,448797.094,1.501,143895.016,0.364
6,448592.531,1.501,143830.703,0.363
7,449026.500,1.502,143903.875,0.364
8,449167.031,1.502,143938.125,0.364
9,448574.219,1.501,143894.859,0.364
